game_id,path,,cam output,status,last contrib date,last contrib time,is_wa,Copied Local,Done,labcam_ver,in_trainset7,in_trainset4,in trainset_64,video_file,,,,,,,,,,ContribNotWorking
1,E:\data\Templates\Ligue 1\W5\20170909_Ligue 1_Nice_Monaco_INRIA,,,,,,,,,,,,,E:\data\Videos\Liga 1\W5\2017-09-09 - Nice - Monaco.mp4,,,,,,,,,,
2,E:\data\Templates\Liga\W25\20180224_Liga_Barcelona_Girona_wa_INRIA,,,,,,,,,,,,,E:\data\Videos\Liga\W25\2018-02-24 - Barcelona - Girona.mp4,,,,,,,,,,
3,E:\data\Outputs\Outputs 2017-12-23-Test GPS 1 crf21Classic,,,,,,,,,,,,,E:\data\Videos\France\GPS\2017-12-23-Test GPS 1 crf21.mp4,,,,,,,,,,
